host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784021360.321,147136000,77,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.377,147186000,82,1,0,0,10.0,25.0,10.0,25.0,8.78758716583252,25.400644302368164,-0.40064454078674316,35.308406829833984,38.052005767822266,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.0077142715454102,,,,,,,,,,,,,,,,
1784021360.402,147196000,83,1,1,4,10.0,25.0,10.0,25.0,8.565427780151367,25.47270393371582,-0.47270357608795166,44.15236282348633,48.308738708496094,0.0,0.0,0.0,0.0,0.7799999713897705,0.37367138266563416,1.2366185188293457,,,,,,,,,,,,,,,,
1784021360.403,147206000,84,1,2,4,10.0,25.0,10.0,25.0,8.924514770507812,25.185483932495117,-0.18548369407653809,42.983001708984375,44.898014068603516,0.0,0.0,0.0,0.0,0.7799999713897705,0.23019248247146606,-1.237872838973999,,,,,,,,,,,,,,,,
1784021360.406,147216000,85,1,3,0,10.0,25.0,10.0,25.0,9.060500144958496,25.485000610351562,-0.48500001430511475,40.22064208984375,43.48801040649414,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.1747984886169434,,,,,,,,,,,,,,,,
1784021360.416,147226000,86,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.464,147276000,91,1,0,0,10.0,25.0,10.0,25.0,8.998187065124512,25.309383392333984,-0.3093838691711426,36.122283935546875,38.052005767822266,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.0494786500930786,,,,,,,,,,,,,,,,
1784021360.476,147286000,92,1,1,4,10.0,25.0,10.0,25.0,8.350659370422363,25.555601119995117,-0.5556017160415649,44.68887710571289,49.886375427246094,0.0,0.0,0.0,0.0,0.7799999713897705,0.45794686675071716,1.2267338037490845,,,,,,,,,,,,,,,,
1784021360.481,147296000,93,1,2,4,10.0,25.0,10.0,25.0,8.685652732849121,25.273168563842773,-0.27316808700561523,43.98436737060547,46.656272888183594,0.0,0.0,0.0,0.0,0.7799999713897705,0.3241164982318878,-1.2447277307510376,,,,,,,,,,,,,,,,
1784021360.497,147306000,94,1,3,0,10.0,25.0,10.0,25.0,9.220149040222168,25.393693923950195,-0.3936946392059326,40.83689498901367,43.48801040649414,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.202273964881897,,,,,,,,,,,,,,,,
1784021360.501,147316000,95,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.558,147366000,100,1,0,0,10.0,25.0,10.0,25.0,9.216423034667969,25.19596290588379,-0.19596219062805176,37.03071594238281,38.052005767822266,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.0927979946136475,,,,,,,,,,,,,,,,
1784021360.563,147376000,101,1,1,4,10.0,25.0,10.0,25.0,8.020720481872559,25.719276428222656,-0.7192760705947876,45.07277297973633,52.342899322509766,0.0,0.0,0.0,0.0,0.7799999713897705,0.5891715288162231,1.1976995468139648,,,,,,,,,,,,,,,,
1784021360.577,147386000,102,1,2,4,10.0,25.0,10.0,25.0,8.385960578918457,25.423019409179688,-0.4230201244354248,44.53468704223633,48.89391326904297,0.0,0.0,0.0,0.0,0.7799999713897705,0.44364869594573975,-1.2292466163635254,,,,,,,,,,,,,,,,
1784021360.591,147396000,103,1,3,0,10.0,25.0,10.0,25.0,9.413778305053711,25.30364990234375,-0.30364990234375,41.482765197753906,43.48801040649414,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.2372490167617798,,,,,,,,,,,,,,,,
1784021360.598,147406000,104,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.641,147456000,109,1,0,0,10.0,25.0,10.0,25.0,9.364314079284668,25.086185455322266,-0.08618533611297607,37.89992904663086,38.052005767822266,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.1295870542526245,,,,,,,,,,,,,,,,
1784021360.658,147466000,110,1,1,4,10.0,25.0,10.0,25.0,7.671690940856934,26.003101348876953,-1.0031014680862427,44.34868621826172,54.96927261352539,0.0,0.0,0.0,0.0,0.7799999713897705,0.7294692397117615,1.1321158409118652,,,,,,,,,,,,,,,,
1784021360.661,147476000,111,1,2,4,10.0,25.0,10.0,25.0,7.997742176055908,25.68528938293457,-0.6852895021438599,44.360992431640625,51.78230285644531,0.0,0.0,0.0,0.0,0.7799999713897705,0.5979430675506592,-1.1730492115020752,,,,,,,,,,,,,,,,
1784021360.677,147486000,112,1,3,0,10.0,25.0,10.0,25.0,9.537595748901367,25.2534236907959,-0.2534240484237671,82.66175842285156,85.20719909667969,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,2.490997552871704,,,,,,,,,,,,,,,,
1784021360.681,147496000,113,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.738,147546000,118,1,0,1,10.010327339172363,24.82176971435547,10.010327339172363,24.82176971435547,9.787786483764648,24.691072463989258,0.1306965947151184,1.4686757326126099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04506106674671173,,,,,,,,,,,,,,,,
1784021360.741,147556000,119,1,1,5,9.942359924316406,24.618572235107422,9.942359924316406,24.618572235107422,8.423160552978516,25.253475189208984,-0.6349027156829834,-7.725822925567627,0.0,0.0,-0.9152958989143372,0.0,0.0,0.0,0.05127161368727684,-0.28728508949279785,,,,,,,,,,,,,,,,
1784021360.757,147566000,120,1,2,4,9.90068244934082,25.0,9.90068244934082,25.0,7.180307865142822,26.275548934936523,-1.2755483388900757,97.17324829101562,140.4842987060547,0.0,0.0,0.0,0.9075494408607483,0.9796608686447144,0.7548930644989014,-2.5530714988708496,,,,,,,,,,,,,,,,
1784021360.766,147576000,121,1,3,0,9.979044914245605,25.0,9.979044914245605,25.0,8.972307205200195,25.617530822753906,-0.6175309419631958,89.98263549804688,110.3546142578125,0.0,0.0,0.0,0.9790632724761963,0.9953939318656921,0.0,2.617011070251465,,,,,,,,,,,,,,,,
1784021360.777,147586000,122,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.826,147636000,127,1,0,1,10.149002075195312,24.142107009887695,10.149002075195312,24.142107009887695,10.070446968078613,24.071483612060547,0.07062256336212158,-0.8530879020690918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029883503913879395,,,,,,,,,,,,,,,,
1784021360.837,147646000,128,1,1,1,10.00821590423584,23.669906616210938,10.00821590423584,23.669906616210938,9.144763946533203,24.259201049804688,-0.5892947316169739,-6.479983329772949,0.0,0.0,-1.3302075862884521,0.0,0.0,0.0,0.0020765159279108047,-0.21634356677532196,,,,,,,,,,,,,,,,
1784021360.841,147656000,129,1,2,4,9.686406135559082,25.0,9.686406135559082,25.0,6.650394439697266,26.422119140625,-1.422119140625,93.1734619140625,148.61109924316406,0.0,0.0,0.0,1.0,1.0,0.8499976396560669,-2.352290391921997,,,,,,,,,,,,,,,,
1784021360.860,147666000,130,1,3,0,9.843206405639648,25.0,9.843206405639648,25.0,8.266983985900879,25.800100326538086,-0.8000999689102173,88.12566375732422,113.27588653564453,0.0,0.0,0.0,1.0,1.0,0.0,2.4857420921325684,,,,,,,,,,,,,,,,
1784021360.864,147676000,131,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.917,147726000,136,1,0,1,10.478604316711426,23.7795467376709,10.478604316711426,23.7795467376709,10.264537811279297,23.670499801635742,0.10904520750045776,0.3203979730606079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026944559067487717,,,,,,,,,,,,,,,,
1784021360.967,147736000,137,1,1,1,10.25692081451416,23.300718307495117,10.25692081451416,23.300718307495117,9.76693344116211,23.523048400878906,-0.22232979536056519,-1.6677318811416626,0.0,0.0,0.0,0.0,0.0,0.0,8.409948350163177e-05,-0.06390679627656937,,,,,,,,,,,,,,,,
1784021360.968,147746000,138,1,2,4,9.321429252624512,25.0,9.321429252624512,25.0,5.980400085449219,26.602542877197266,-1.6025424003601074,86.23109436035156,149.10643005371094,0.0,0.0,0.0,1.0,1.0,0.8499999642372131,-2.0677430629730225,,,,,,,,,,,,,,,,
1784021360.973,147756000,139,1,3,0,9.559704780578613,25.0,9.559704780578613,25.0,7.804466724395752,25.740623474121094,-0.7406234741210938,92.26126861572266,113.4097900390625,0.0,0.0,0.0,1.0,1.0,0.0,2.5869836807250977,,,,,,,,,,,,,,,,
1784021360.974,147766000,140,2,255,0,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021361.001,147816000,145,1,0,1,10.833785057067871,24.232837677001953,10.833785057067871,24.232837677001953,10.52010726928711,24.076263427734375,0.15657395124435425,1.5286428928375244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031830206513404846,,,,,,,,,,,,,,,,
