host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784053970.420,199570000,199,1,3,0,10.0,25.0,10.0,25.0,8.857465744018555,25.49833869934082,-0.49833953380584717,34.89286804199219,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9716035723686218,1.1425338983535767,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.440,199583000,200,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.017308924347162247,-0.018055837601423264,0.04003746435046196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053970.463,199599000,201,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.029364824295043945,-0.016582980751991272,0.0,0.0,0.12187480926513672,0.004946504253894091,-1.472151279449463,0.22329942882061005,9.931875228881836
1784053970.546,199707000,206,1,0,0,10.0,25.0,10.0,25.0,8.875494003295898,25.394189834594727,-0.39418935775756836,31.997665405273438,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8894768953323364,1.1245049238204956,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.591,199726000,207,1,1,0,10.0,25.0,10.0,25.0,8.932135581970215,25.274059295654297,-0.2740591764450073,39.35987091064453,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1193864345550537,1.0678634643554688,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.602,199746000,208,1,2,0,10.0,25.0,10.0,25.0,9.24454116821289,25.047344207763672,-0.04734396934509277,45.3900032043457,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3350474834442139,0.7554583549499512,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.621,199765000,209,1,3,0,10.0,25.0,10.0,25.0,8.855009078979492,25.5006046295166,-0.500604510307312,34.82989501953125,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9693636894226074,1.14499032497406,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.643,199784000,210,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.007898781448602676,-0.014837110415101051,0.04002530872821808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053970.669,199806000,211,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.013456106185913086,0.0033461451530456543,0.0,0.0,0.036704063415527344,0.006065129768103361,-1.4880599975585938,0.24322855472564697,9.846704483032227
1784053970.767,199915000,216,1,0,0,10.0,25.0,10.0,25.0,8.877276420593262,25.39304542541504,-0.39304494857788086,31.867919921875,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8853106498718262,1.1227227449417114,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.782,199929000,217,1,1,0,10.0,25.0,10.0,25.0,8.93220329284668,25.273948669433594,-0.27394890785217285,39.23197937011719,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.115092396736145,1.0677963495254517,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.802,199946000,218,1,2,0,10.0,25.0,10.0,25.0,9.2445650100708,25.04729652404785,-0.04729628562927246,45.3773193359375,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.334647536277771,0.755434513092041,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.821,199965000,219,1,3,0,10.0,25.0,10.0,25.0,8.856468200683594,25.50009536743164,-0.5000948905944824,34.6913948059082,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.965110719203949,1.1435307264328003,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.853,199986000,220,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.015782611444592476,-0.008725631982088089,0.040028635412454605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053970.882,200008000,221,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.0037108659744262695,0.0152815580368042,0.0,0.0,0.08572006225585938,0.003208312438800931,-1.4978052377700806,0.2551639676094055,9.895720481872559
1784053970.971,200118000,226,1,0,0,10.0,25.0,10.0,25.0,8.879554748535156,25.39229393005371,-0.39229393005371094,31.87303924560547,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8857317566871643,1.120444416999817,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.971,200132000,227,1,1,0,10.0,25.0,10.0,25.0,8.933907508850098,25.272829055786133,-0.2728283405303955,39.33942794799805,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1190884113311768,1.0660916566848755,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053971.001,200148000,228,1,2,0,10.0,25.0,10.0,25.0,9.245844841003418,25.045955657958984,-0.04595518112182617,45.4073486328125,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3356198072433472,0.7541544437408447,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053971.022,200164000,229,1,3,0,10.0,25.0,10.0,25.0,8.857542991638184,25.5002384185791,-0.5002379417419434,34.957542419433594,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.974152684211731,1.1424564123153687,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053971.040,200183000,230,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.030938157811760902,-0.013774478808045387,0.04010980948805809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053971.066,200204000,231,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,-0.0062645673751831055,0.0036497563123703003,0.0,0.0,0.009081840515136719,0.007464482448995113,-1.50778067111969,0.24353216588497162,9.819082260131836
